bay_id,st_marker_id,status,location,lat,lon
2379,3194N,Unoccupied,"(-37.81395793231693, 144.95612961363224)",-37.81395793231693,144.95612961363224
1765,2393S,Unoccupied,"(-37.81485602318736, 144.96136597230816)",-37.81485602318736,144.96136597230816
5289,1595W,Unoccupied,"(-37.8117116489161, 144.9506374191422)",-37.8117116489161,144.9506374191422
5254,11533S,Unoccupied,"(-37.81201524422568, 144.95147120297366)",-37.81201524422568,144.95147120297366
5287,1599W,Unoccupied,"(-37.81160995044668, 144.9505905101466)",-37.81160995044668,144.9505905101466
2542,C3050,Unoccupied,"(-37.81327695117115, 144.95885266404122)",-37.81327695117115,144.95885266404122
6047,13014N,Unoccupied,"(-37.81986281600943, 144.95110125181054)",-37.81986281600943,144.95110125181054
6263,13329W,Unoccupied,"(-37.8189196878709, 144.9484019412546)",-37.8189196878709,144.9484019412546
1006,951W,Present,"(-37.81305337978721, 144.96250770939437)",-37.81305337978721,144.96250770939437
2189,3860N,Present,"(-37.811225724167116, 144.95801049561726)",-37.811225724167116,144.95801049561726
5041,9519S,Present,"(-37.82842941215759, 144.96624821453486)",-37.82842941215759,144.96624821453486
4729,8678E,Present,"(-37.82526181746293, 144.9630380757548)",-37.82526181746293,144.9630380757548
5527,11987W,Unoccupied,"(-37.81411708650631, 144.98280290190883)",-37.81411708650631,144.98280290190883
2254,3949S,Unoccupied,"(-37.81265340517716, 144.9534985669947)",-37.81265340517716,144.9534985669947
612,69W,Present,"(-37.8101102904327, 144.97234216796352)",-37.8101102904327,144.97234216796352
3349,6033S,Present,"(-37.81051460292525, 144.95671881689637)",-37.81051460292525,144.95671881689637
6127,C13612,Unoccupied,"(-37.81957378086392, 144.9447062113916)",-37.81957378086392,144.9447062113916
836,C600,Unoccupied,"(-37.8088694957097, 144.96909579231107)",-37.8088694957097,144.96909579231107
2554,C3092,Unoccupied,"(-37.813403963224104, 144.95841711293218)",-37.813403963224104,144.95841711293218
3332,6016N,Unoccupied,"(-37.8103117497032, 144.95695325744822)",-37.8103117497032,144.95695325744822
3334,6018N,Unoccupied,"(-37.8103315601991, 144.95688411600307)",-37.8103315601991,144.95688411600307
3338,6022N,Unoccupied,"(-37.81036861173811, 144.95675494627793)",-37.81036861173811,144.95675494627793
3340,6024N,Unoccupied,"(-37.81038670253006, 144.9566918201622)",-37.81038670253006,144.9566918201622
3342,6026N,Unoccupied,"(-37.81040996007556, 144.95661083976387)",-37.81040996007556,144.95661083976387
2570,C3130,Unoccupied,"(-37.81354328735705, 144.9579400979572)",-37.81354328735705,144.9579400979572
2564,C3118,Unoccupied,"(-37.81349121589856, 144.95811837964936)",-37.81349121589856,144.95811837964936
1376,1536E,Unoccupied,"(-37.817295303208844, 144.95346860555804)",-37.817295303208844,144.95346860555804
2048,3519S,Unoccupied,"(-37.81306605183778, 144.9558143233114)",-37.81306605183778,144.9558143233114
5203,C8058,Present,"(-37.81071003993267, 144.95162647044964)",-37.81071003993267,144.95162647044964
1270,4462E,Unoccupied,"(-37.813703354077106, 144.95461916833347)",-37.813703354077106,144.95461916833347
769,C320,Present,"(-37.814543336975056, 144.97170050566083)",-37.814543336975056,144.97170050566083
3346,6030N,Unoccupied,"(-37.81044401738329, 144.9564918090419)",-37.81044401738329,144.9564918090419
