X,Y,bay_id,st_marker_,status,location,lat,lon,xdate,xsource,mccid_str,xorg,mccid_int,name,mccid_gis,maplabel
144.945721533291419,-37.81928017725923,6107,C13524,Unoccupied,"(-37.81928017725923, 144.94572153329142)",-37.819280177259230,144.945721533291419,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3008.0000000000000000000000000000000,,14.0000000000000000000000000000000,
144.957490726892757,-37.810157904681049,3330,6014N,Unoccupied,"(-37.81015790468105, 144.95749072689276)",-37.810157904681049,144.957490726892757,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3000.0000000000000000000000000000000,,15.0000000000000000000000000000000,
144.969907101144742,-37.814426395472402,1539,1906N,Present,"(-37.8144263954724, 144.96990710114474)",-37.814426395472402,144.969907101144742,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3000.0000000000000000000000000000000,,15.0000000000000000000000000000000,
144.940138261603124,-37.812718477256297,6572,13840N,Unoccupied,"(-37.8127184772563, 144.94013826160312)",-37.812718477256297,144.940138261603124,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3008.0000000000000000000000000000000,,14.0000000000000000000000000000000,
144.953485879193124,-37.806967456633323,3261,5814E,Present,"(-37.80696745663332, 144.95348587919312)",-37.806967456633323,144.953485879193124,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3003.0000000000000000000000000000000,,4.0000000000000000000000000000000,
144.980341874757926,-37.8157464614875,5804,12536N,Unoccupied,"(-37.8157464614875, 144.98034187475793)",-37.815746461487500,144.980341874757926,20091109.0000000000000000000000000000000,Mapbase,,GIS Team,3002.0000000000000000000000000000000,,13.0000000000000000000000000000000,
144.958119765457752,-37.796860634763902,6836,14032E,Present,"(-37.7968606347639, 144.95811976545775)",-37.796860634763902,144.958119765457752,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3010.0000000000000000000000000000000,,16.0000000000000000000000000000000,
144.957165022274751,-37.814897524255571,1867,2599S,Unoccupied,"(-37.81489752425557, 144.95716502227475)",-37.814897524255571,144.957165022274751,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3000.0000000000000000000000000000000,,15.0000000000000000000000000000000,
144.94590963084886,-37.819805035756751,6436,13699W,Present,"(-37.81980503575675, 144.94590963084886)",-37.819805035756751,144.945909630848860,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3008.0000000000000000000000000000000,,14.0000000000000000000000000000000,
144.978081744141264,-37.810552941836207,5482,11887W,Unoccupied,"(-37.81055294183621, 144.97808174414126)",-37.810552941836207,144.978081744141264,20091109.0000000000000000000000000000000,Mapbase,,GIS Team,3002.0000000000000000000000000000000,,13.0000000000000000000000000000000,
144.954507900956287,-37.814009141193395,1263,4455W,Unoccupied,"(-37.814009141193395, 144.9545079009563)",-37.814009141193395,144.954507900956287,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3000.0000000000000000000000000000000,,15.0000000000000000000000000000000,
144.96100389345861,-37.81479691386167,1771,2400N,Unoccupied,"(-37.81479691386167, 144.9610038934586)",-37.814796913861670,144.961003893458610,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3000.0000000000000000000000000000000,,15.0000000000000000000000000000000,
